Customer ID	Transaction ID	Date	Gender	Age	Product Category	Quantity	Price per Unit
string	continuous	time	Female Male	continuous	Beauty Clothing Electronics	continuous	continuous
meta							
CUST001	1	2023-11-24	Male	34	Beauty	3	50
CUST002	2	2023-02-27	Female	26	Clothing	2	500
CUST003	3	2023-01-13	Male	50	Electronics	1	30
CUST004	4	2023-05-21	Male	37	Clothing	1	500
CUST005	5	2023-05-06	Male	30	Beauty	2	50
CUST006	6	2023-04-25	Female	45	Beauty	1	30
CUST007	7	2023-03-13	Male	46	Clothing	2	25
CUST008	8	2023-02-22	Male	30	Electronics	4	25
CUST009	9	2023-12-13	Male	63	Electronics	2	300
CUST010	10	2023-10-07	Female	52	Clothing	4	50
CUST011	11	2023-02-14	Male	23	Clothing	2	50
CUST012	12	2023-10-30	Male	35	Beauty	3	25
CUST013	13	2023-08-05	Male	22	Electronics	3	500
CUST014	14	2023-01-17	Male	64	Clothing	4	30
CUST015	15	2023-01-16	Female	42	Electronics	4	500
CUST016	16	2023-02-17	Male	19	Clothing	3	500
CUST017	17	2023-04-22	Female	27	Clothing	4	25
CUST018	18	2023-04-30	Female	47	Electronics	2	25
CUST019	19	2023-09-16	Female	62	Clothing	2	25
CUST020	20	2023-11-05	Male	22	Clothing	3	300
CUST021	21	2023-01-14	Female	50	Beauty	1	500
CUST022	22	2023-10-15	Male	18	Clothing	2	50
CUST023	23	2023-04-12	Female	35	Clothing	4	30
CUST024	24	2023-11-29	Female	49	Clothing	1	300
CUST025	25	2023-12-26	Female	64	Beauty	1	50
CUST026	26	2023-10-07	Female	28	Electronics	2	500
CUST027	27	2023-08-03	Female	38	Beauty	2	25
CUST028	28	2023-04-23	Female	43	Beauty	1	500
CUST029	29	2023-08-18	Female	42	Electronics	1	30
CUST030	30	2023-10-29	Female	39	Beauty	3	300
CUST031	31	2023-05-23	Male	44	Electronics	4	300
CUST032	32	2023-01-04	Male	30	Beauty	3	30
CUST033	33	2023-03-23	Female	50	Electronics	2	50
CUST034	34	2023-12-24	Female	51	Clothing	3	50
CUST035	35	2023-08-05	Female	58	Beauty	3	300
CUST036	36	2023-06-24	Male	52	Beauty	3	300
CUST037	37	2023-05-23	Female	18	Beauty	3	25
CUST038	38	2023-03-21	Male	38	Beauty	4	50
CUST039	39	2023-04-21	Male	23	Clothing	4	30
CUST040	40	2023-06-22	Male	45	Beauty	1	50
CUST041	41	2023-02-22	Male	34	Clothing	2	25
CUST042	42	2023-02-17	Male	22	Clothing	3	300
CUST043	43	2023-07-14	Female	48	Clothing	1	300
CUST044	44	2023-02-19	Female	22	Clothing	1	25
